"Year","avgb","source"
"2010",87704.251970661,"original"
"2010",60459.4541268739,"original"
"2010",73624.9817440209,"original"
"2010",67163.6766531309,"original"
"2010",57061.4618631574,"original"
"2010",60537.871888819,"original"
"2010",84040.6138755987,"original"
"2010",75797.3468489248,"original"
"2010",52151.8286245131,"original"
"2010",62315.5495741317,"original"
"2010",60054.2954800304,"original"
"2010",63767.4848515109,"original"
"2010",56079.7429934922,"original"
"2010",64110.3179614705,"original"
"2010",81808.7967352854,"original"
"2010",48712.6355373583,"original"
"2010",59564.2914692335,"original"
"2010",77872.8728665284,"original"
"2010",57846.3583096474,"original"
"2010",64479.0460024596,"original"
"2010",46540.4208753511,"original"
"2010",55360.9369925383,"original"
"2010",69769.2155264433,"original"
"2010",52124.7196214804,"original"
"2010",53615.3263961495,"original"
"2010",50831.9310540361,"original"
"2010",45493.9041286142,"original"
"2010",65778.4428365534,"original"
"2010",54304.1953185946,"original"
"2010",63261.7566235447,"original"
"2010",73788.981395276,"original"
"2010",48883.1089443276,"original"
"2010",70030.6352211935,"original"
"2010",63474.165796161,"original"
"2010",79621.8353481881,"original"
"2010",69750.6781807733,"original"
"2010",84063.6644979858,"original"
"2010",58396.973730017,"original"
"2010",48337.8972828714,"original"
"2010",59970.7949810301,"original"
"2010",63329.3333135402,"original"
"2010",80779.966727267,"original"
"2010",54515.9680758879,"original"
"2010",62323.0440788395,"original"
"2010",75629.2945605935,"original"
"2010",64303.0817219582,"original"
"2010",70413.4613799001,"original"
"2010",52164.9988413222,"original"
"2010",44375.9138897986,"original"
"2010",63866.4937728755,"original"
"2010",53814.3106802983,"original"
"2010",59185.9653459138,"original"
"2010",77868.2299423426,"original"
"2010",52692.0410443456,"original"
"2010",52155.0781169605,"original"
"2010",61867.4066205156,"original"
"2010",59429.5280503913,"original"
"2010",67968.4456833283,"original"
"2010",73498.8579696409,"original"
"2010",66561.5306451056,"original"
"2010",100544.662761308,"original"
"2010",60101.6182057981,"original"
"2010",61754.5607387137,"original"
"2010",81652.3033732326,"original"
"2010",57391.0473650582,"original"
"2010",46631.4989097882,"original"
"2010",52245.3650574273,"original"
"2010",66269.1763096819,"original"
"2010",50040.5866080272,"original"
"2010",38033.7153639669,"original"
"2010",61348.7752586703,"original"
"2010",64094.4130514528,"original"
"2010",51295.6238640495,"original"
"2010",71005.5583485308,"original"
"2010",71065.4896424403,"original"
"2010",82436.6287668184,"original"
"2010",62549.8734346457,"original"
"2010",69455.0182926202,"original"
"2010",84348.5707610775,"original"
"2010",48449.8700523632,"original"
"2010",58537.7595464469,"original"
"2010",58052.2728242372,"original"
"2010",69626.2002860365,"original"
"2010",59810.2378073543,"original"
